tourney_id	tourney_name	surface	draw_size	tourney_level	tourney_date	match_num	winner_id	winner_seed	winner_entry	winner_name	winner_hand	winner_ht	winner_ioc	winner_age	winner_rank	winner_rank_points	loser_id	loser_seed	loser_entry	loser_name	loser_hand	loser_ht	loser_ioc	loser_age	loser_rank	loser_rank_points	score	best_of	round	minutes	w_ace	w_df	w_svpt	w_1stIn	w_1stWon	w_2ndWon	w_SvGms	w_bpSaved	w_bpFaced	l_ace	l_df	l_svpt	l_1stIn	l_1stWon	l_2ndWon	l_SvGms	l_bpSaved	l_bpFaced	wid	lid	atp_match_num	no_sets	no_tiebreaks	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	243	106045			Denis Kudla	R	180	USA	23	61	794	103333			Ivo Karlovic	R	211	CRO	37	31	1235	6-7(7) 7-6(5) 7-6(4)	3	R64	153	10	2	135	94	68	26	18	7	3	30	8	120	79	67	17	18	2	8	MS058	3	3	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	252	105723			Andrey Kuznetsov	R	185	RUS	25	39	1015	104678			Viktor Troicki	R	193	SRB	30	24	1580	6-4 6-4	3	R64	81	3	0	67	35	26	23	10	5	3	5	1	53	28	23	11	10	1	5	MS049	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	260	106401			Nick Kyrgios	R	193	AUS	20	20	1765	105550			Guido Pella	L	185	ARG	25	43	984	7-6(7) 6-4	3	R64	87	16	1	71	55	42	9	11	0	2	3	1	67	50	37	12	11	1	0	MS041	2	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	267	103852			Feliciano Lopez	L	188	ESP	34	23	1585	104919			Leonardo Mayer	R	191	ARG	28	46	975	7-6(5) 4-6 6-4	3	R64	152	14	1	94	67	52	18	16	0	6	6	7	115	67	49	28	16	5	1	MS034	3	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	251	105023			Sam Querrey	R	198	USA	28	37	1090	105732			Pierre-Hugues Herbert	R	188	FRA	25	85	660	6-7(5) 7-6(5) 6-4	3	R64	119	20	2	97	59	52	22	17	1	9	16	3	116	72	54	28	17	7	2	MS050	3	2	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	263	105077			Albert Ramos-Vinolas	L	188	ESP	28	57	853	104871			Jeremy Chardy	R	188	FRA	29	33	1220	6-3 6-4	3	R64	68	2	3	55	37	31	8	10	2	3	4	3	50	35	21	9	9	0	3	MS038	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	248	106058			Jack Sock	R	191	USA	23	26	1425	105332			Benoit Paire	R	196	FRA	26	21	1751	2-6 6-2 7-6(5)	3	R64	108	2	5	84	43	28	21	14	5	8	8	5	102	46	30	31	14	4	9	MS053	3	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	247	105311			Joao Sousa	R	185	POR	27	34	1181	103917			Nicolas Mahut	R	191	FRA	34	48	937	6-4 6-4	3	R64	72	4	0	67	52	33	13	10	6	2	4	2	51	33	29	8	10	0	6	MS054	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	239	103285			Radek Stepanek	R	185	CZE	37	141	405	105577			Vasek Pospisil	R	193	CAN	25	45	975	6-1 6-7(4) 6-4	3	R64	131	0	3	88	60	48	16	14	2	14	8	2	102	55	41	19	15	9	3	MS062	3	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	256	104269			Fernando Verdasco	L	185	ESP	32	51	900	104338			Juan Monaco	R	185	ARG	32	100	575	7-5 7-6(3)	3	R64	112	7	2	90	47	31	26	12	8	7	3	0	76	65	44	6	12	5	9	MS045	2	1	
